상품명,현재랭킹,로켓수,현재수요도(평균대비),피크월,진입권장여부
프리렌피규어,33,0,340.7%,2026-02,강력 추천
어린이집고리수건,30,0,317.8%,2025-02,강력 추천
이동식욕조,41,4,174.4%,2026-02,강력 추천
네임스티커,20,3,133.1%,2025-02,강력 추천
유치원졸업식꽃다발,23,9,267.4%,2025-02,검토
초등학생필통,45,10,183.3%,2025-02,검토
졸업식꽃다발,28,8,250.3%,2025-02,주의 (하락세)
오크통,44,0,102.9%,2025-08,추천 (시즌 아이템)
접이식카트,37,5,94.6%,2025-05,검토
싱크대수전,13,9,87.8%,2025-03,주의 (하락세)
뉴타입,17,9,83.4%,2026-01,주의 (하락세)
필통,9,9,91.8%,2025-02,주의 (하락세)
피규어,46,10,75.4%,2025-09,주의 (하락세)
머그컵,34,9,77.5%,2025-02,주의 (하락세)
지압슬리퍼,21,7,72.2%,2025-03,검토
빨래바구니,18,9,70.9%,2025-08,주의 (하락세)
세면대수전,29,8,68.8%,2025-02,주의 (하락세)
수저세트,15,7,66.5%,2025-02,주의 (하락세)
금고,1,4,72.8%,2025-02,주의 (하락세)
빨래건조대,6,8,70.0%,2025-03,주의 (하락세)
강아지계단,35,8,65.2%,2025-08,주의 (하락세)
건담,31,2,66.1%,2025-02,주의 (하락세)
세면대,19,1,60.7%,2025-03,주의 (하락세)
돋보기안경,43,1,62.5%,2025-07,주의 (하락세)
식기건조대,7,8,66.6%,2025-08,주의 (하락세)
도마,25,10,58.3%,2025-03,주의 (하락세)
주차번호판,49,9,54.6%,2025-03,주의 (하락세)
옷걸이,26,9,62.8%,2025-03,주의 (하락세)
분리수거함,8,5,58.0%,2025-03,주의 (하락세)
요소수,40,0,58.2%,2025-12,주의 (하락세)
혈당측정기,48,1,54.2%,2025-02,주의 (하락세)
캣타워,14,9,55.7%,2025-04,주의 (하락세)
안마의자,5,8,61.7%,2025-04,주의 (하락세)
스타벅스텀블러,3,4,72.4%,2025-02,주의 (하락세)
칫솔,22,9,57.0%,2025-09,주의 (하락세)
보온도시락,47,10,54.6%,2025-11,주의 (하락세)
샤워기헤드,16,8,56.5%,2025-03,주의 (하락세)
강아지옷,36,9,60.2%,2025-11,주의 (하락세)
비데,4,10,56.0%,2025-04,주의 (하락세)
전자담배,50,10,60.3%,2025-03,주의 (하락세)
텀블러,2,7,56.5%,2025-07,주의 (하락세)
수건,12,7,57.8%,2025-09,주의 (하락세)
차량용방향제,10,10,53.9%,2025-05,주의 (하락세)
마스크,32,6,60.6%,2025-09,주의 (하락세)
치약,27,9,60.6%,2026-01,주의 (하락세)
멀티탭,11,6,50.0%,2025-05,주의 (하락세)
프라이팬,38,9,48.4%,2025-09,주의 (하락세)
체중계,39,9,49.9%,2025-09,주의 (하락세)
스탠리텀블러,24,10,49.2%,2025-07,주의 (하락세)
귀멸의칼날피규어,42,9,57.2%,2025-09,주의 (하락세)
