category,rank,keyword,change_trend,rocket_count,total_products,avg_price,max_reviews,grade,search_volume
생활/주방,20,네임스티커,-,0,10,11081,0,S,0
생활/주방,19,세면대,-,1,10,111270,0,S,0
생활/주방,1,금고,-,3,10,258579,0,S,0
생활/주방,3,스타벅스텀블러,-,4,10,84600,0,S,0
생활/주방,8,분리수거함,-,5,10,292678,0,A,0
생활/주방,11,멀티탭,-,6,10,44568,0,A,0
생활/주방,12,수건,-,7,10,127593,0,A,0
생활/주방,4,비데,-,8,10,221155,0,A,0
생활/주방,13,싱크대수전,-,8,10,139574,0,A,0
생활/주방,9,필통,-,9,10,25367,0,A,0
생활/주방,10,차량용방향제,-,9,10,32740,0,A,0
생활/주방,15,수저세트,-,9,10,39450,0,A,0
생활/주방,17,뉴타입,-,9,10,48790,0,A,0
생활/주방,18,빨래바구니,-,9,10,30845,0,A,0
생활/주방,2,텀블러,-,10,10,28575,0,A,0
생활/주방,5,안마의자,-,10,10,2551413,0,A,0
생활/주방,6,빨래건조대,-,10,10,44811,0,A,0
생활/주방,7,식기건조대,-,10,10,90931,0,A,0
생활/주방,14,캣타워,-,10,10,137064,0,A,0
생활/주방,16,샤워기헤드,-,10,10,21168,0,A,0
